Phe_112
Phe_153
Phe_153.2
Phe_153.3
Phe_158
Phe_159
Phe_165
Phe_165.1
Phe_172
Phe_172.2
Phe_174
Phe_189
Phe_189.11
Phe_189.2
Phe_189.21
Phe_195
Phe_195.1
Phe_197
Phe_198
Phe_198.1
Phe_198.2
Phe_198.3
Phe_198.4
Phe_198.6
Phe_199
Phe_202
Phe_202.2
Phe_204
Phe_208
Phe_211
Phe_214
Phe_214.1
Phe_215
Phe_216
Phe_228
Phe_229
Phe_241
Phe_242
Phe_244
Phe_244.1
Phe_244.4
Phe_250.1
Phe_250.2
Phe_250.23
Phe_250.7
Phe_260
Phe_261
Phe_272
Phe_272.1
Phe_272.11
Phe_274
Phe_274.1
Phe_275
Phe_275.5
Phe_276
Phe_276.1
Phe_276.12
Phe_276.14
Phe_276.5
Phe_277
Phe_278
Phe_278.1
Phe_280
Phe_280.1
Phe_281
Phe_281.1
Phe_285
Phe_287
Phe_287.3
Phe_288
Phe_289
Phe_289.4
Phe_290
Phe_292
Phe_292.1
Phe_292.4
Phe_293
Phe_296
Phe_296.1
Phe_296.2
Phe_300
Phe_300.1
Phe_306
Phe_317
Phe_317.1
Phe_318
Phe_327
Phe_327.3
Phe_331
Phe_332
Phe_334
Phe_335
Phe_339
Phe_340
Phe_342
Phe_345
Phe_345.3
Phe_348
Phe_350
Phe_350.2
Phe_351
Phe_352
Phe_353
Phe_357
Phe_361
Phe_361.1
Phe_362
Phe_362.2
Phe_362.29
Phe_365
Phe_365.1
Phe_365.11
Phe_366
Phe_366.2
Phe_367
Phe_367.1
Phe_368
Phe_371
Phe_371.3
Phe_374
Phe_374.1
Phe_374.3
Phe_375
Phe_378
Phe_379
Phe_379.2
Phe_379.3
Phe_380
Phe_381
Phe_381.1
Phe_384
Phe_384.4
Phe_386
Phe_386.9
Phe_389
Phe_394
Phe_394.2
Phe_394.3
Phe_394.7
Phe_395
Phe_395.1
Phe_395.6
Phe_396
Phe_401.1
Phe_401.2
Phe_401.22
Phe_402
Phe_411.1
Phe_411.2
Phe_411.3
Phe_411.4
Phe_411.8
Phe_411.9
Phe_414
Phe_415
Phe_416
Phe_418
Phe_418.1
Phe_420
Phe_420.2
Phe_425
Phe_425.1
Phe_426
Phe_426.2
Phe_426.3
Phe_426.31
Phe_426.32
Phe_426.9
Phe_426.91
Phe_427
Phe_427.1
Phe_427.11
Phe_427.2
Phe_427.3
Phe_427.4
Phe_427.7
Phe_427.9
Phe_428
Phe_428.1
Phe_428.2
Phe_430
Phe_433
Phe_433.1
Phe_433.2
Phe_433.21
Phe_433.3
Phe_433.31
Phe_433.8
Phe_440
Phe_442
Phe_442.1
Phe_443
Phe_443.1
Phe_443.9
Phe_447
Phe_451
Phe_451.2
Phe_454
Phe_454.1
Phe_455
Phe_458
Phe_458.1
Phe_458.9
Phe_459
Phe_459.9
Phe_465
Phe_470
Phe_471
Phe_473
Phe_473.4
Phe_474
Phe_474.2
Phe_475
Phe_476
Phe_477
Phe_479
Phe_480
Phe_480.1
Phe_480.11
Phe_495
Phe_496
Phe_496.1
Phe_496.2
Phe_496.21
Phe_496.3
Phe_506
Phe_507
Phe_508
Phe_509.1
Phe_509.2
Phe_512
Phe_512.7
Phe_512.8
Phe_514
Phe_516
Phe_516.1
Phe_519
Phe_519.8
Phe_520
Phe_520.2
Phe_521
Phe_521.1
Phe_522
Phe_522.5
Phe_523
Phe_523.3
Phe_525
Phe_528
Phe_529
Phe_530
Phe_530.1
Phe_530.11
Phe_530.12
Phe_530.14
Phe_530.2
Phe_530.3
Phe_530.9
Phe_531
Phe_531.2
Phe_531.3
Phe_532
Phe_535
Phe_535.1
Phe_535.6
Phe_535.8
Phe_537
Phe_540
Phe_540.1
Phe_540.11
Phe_550
Phe_550.1
Phe_550.2
Phe_550.4
Phe_550.5
Phe_555
Phe_555.1
Phe_555.2
Phe_556
Phe_557
Phe_557.1
Phe_558
Phe_559
Phe_560.4
Phe_561
Phe_561.2
Phe_562
Phe_562.1
Phe_563
Phe_564
Phe_564.1
Phe_564.8
Phe_564.9
Phe_565
Phe_565.1
Phe_568
Phe_568.1
Phe_569
Phe_571
Phe_571.5
Phe_572
Phe_573
Phe_573.7
Phe_574
Phe_574.1
Phe_574.11
Phe_574.12
Phe_574.2
Phe_574.3
Phe_575
Phe_575.7
Phe_575.8
Phe_577
Phe_577.1
Phe_578.1
Phe_578.2
Phe_578.9
Phe_579
Phe_579.8
Phe_580
Phe_580.1
Phe_585
Phe_585.1
Phe_585.2
Phe_585.3
Phe_586
Phe_586.2
Phe_590
Phe_591
Phe_592
Phe_592.1
Phe_593
Phe_594
Phe_594.1
Phe_594.3
Phe_594.8
Phe_595
Phe_596
Phe_596.1
Phe_596.5
Phe_597
Phe_597.1
Phe_598
Phe_599
Phe_599.2
Phe_599.3
Phe_599.4
Phe_599.5
Phe_599.9
Phe_611.3
Phe_613
Phe_681
Phe_681.3
Phe_686
Phe_686.1
Phe_687
Phe_687.1
Phe_687.4
Phe_689
Phe_695
Phe_696
Phe_696.4
Phe_696.41
Phe_701
Phe_701.2
Phe_702
Phe_702.1
Phe_702.2
Phe_703
Phe_704
Phe_706
Phe_706.2
Phe_707
Phe_709
Phe_709.7
Phe_714
Phe_714.1
Phe_715
Phe_716
Phe_716.2
Phe_716.9
Phe_717
Phe_720
Phe_721
Phe_721.1
Phe_722
Phe_722.6
Phe_722.9
Phe_724
Phe_726
Phe_726.1
Phe_727
Phe_727.1
Phe_727.4
Phe_728
Phe_728.7
Phe_728.71
Phe_729
Phe_729.1
Phe_733
Phe_733.8
Phe_735
